case_id,name,year,court,key_finding,description,outcome
1,Kesavananda Bharati v. State of Kerala,1973,Supreme Court,Basic structure doctrine of Constitution,Fundamental case establishing that Parliament cannot alter the basic structure of the Constitution of India.,win
2,Vishaka v. State of Rajasthan,1997,Supreme Court,Sexual harassment at workplace guidelines,Established guidelines for dealing with sexual harassment at workplace before legislation was enacted.,win
3,Olga Tellis v. Bombay Municipal Corporation,1985,Supreme Court,Right to livelihood is part of right to life,Case recognized the right to livelihood as an important component of right to life under Article 21.,win
4,M.C. Mehta v. Union of India,1986,Supreme Court,Absolute liability principle in environmental cases,Established the principle of absolute liability in cases of hazardous industries.,lose
5,Maneka Gandhi v. Union of India,1978,Supreme Court,Right to personal liberty and due process,Expanded the interpretation of Article 21 to include right to travel abroad as part of personal liberty.,lose
6,Lily Thomas vs Union of India & Ors.,2000,Supreme Court,Misuse of Religious Conversion for Bigamy,governs the marriage laws for Hindus in India providing conditions for valid marriage divorce and other related aspects,win
7,A.K. Gopalan v. State of Madras,1950,Supreme Court of India,Restrictive interpretation of personal liberty,First major constitutional case after independence  narrowly interpreted Article 21's 'procedure established by law',win
8,State of Madras v. Champakam Dorairajan,1951,Supreme Court of India,Caste-based reservations unconstitutional,Led to the First Amendment of the Constitution  which empowered the state to make special provisions for socially disadvantaged groups,win
9,Balsara v. Bombay,1954,Supreme Court of India,Prohibition of alcohol valid,Upheld state's right to prohibit alcohol under directive principles  validating Bombay Prohibition Act,win
10,K.M. Nanavati v. State of Maharashtra,1962,Supreme Court of India,Jury system abolished in India,Famous case that led to the abolition of the jury system in India after a controversial acquittal was overturned,win
11,Kesavananda Bharati v. State of Kerala,1973,Supreme Court of India,Basic structure doctrine established,Landmark judgment establishing that Parliament cannot amend the basic structure of the Constitution,win
12,ADM Jabalpur v. Shivakant Shukla,1975,Supreme Court of India,Fundamental rights can be suspended during emergency,Controversial ruling that fundamental rights could be suspended during emergency  later overruled,win
13,Maneka Gandhi v. Union of India,1978,Supreme Court of India,Expanded interpretation of right to life,Landmark judgment that expanded Article 21 to include right to dignity  livelihood  privacy  and due process,win
